1  0.000123  0.000151  0.000532  0.015615 
2  0.000177  0.000081  0.000954  0.031293 
4  0.000072  0.000117  0.001389  0.062592 
8  0.000141  0.000115  0.002389  0.125162 
16  0.000085  0.000157  0.004645  0.250295 
32  0.000077  0.000102  0.008961  0.500474 
64  0.000086  0.000118  0.017822  1.000086 
128  0.000041  0.000066  0.035230  1.000174 
256  0.000024  0.000025  0.070371  1.000199 
512  0.000037  0.000032  0.083010  1.013398 
1024  0.000016  0.000015  0.062019  1.008902 
2048  0.000016  0.000010  0.000013  1.572148 
4096  0.000021  0.000017  0.000015  1.022617 
8192  0.0 0.000010  0.000009  0.000011 
16384  0.0 0.0 0.000008  0.000006 
32768  0.0 0.0 0.0 0.000005 
