8192,	1,	0.000024,	0.000755
8192,	2,	0.000094,	0.000765
8192,	4,	0.000054,	0.000774
8192,	8,	0.000071,	0.000763
8192,	16,	0.000046,	0.000763
8192,	32,	0.000088,	0.000784
8192,	64,	0.000048,	0.000806
8192,	128,	0.000079,	0.000885
8192,	256,	0.000017,	0.000675
8192,	512,	0.000009,	0.000719
8192,	1024,	0.000005,	0.000746
8192,	2048,	0.000006,	0.000795
8192,	4096,	0.000002,	0.000964
16384,	1,	0.000147,	0.000793
16384,	2,	0.000080,	0.000756
16384,	4,	0.000060,	0.000754
16384,	8,	0.000074,	0.000760
16384,	16,	0.000065,	0.000776
16384,	32,	0.000068,	0.000761
16384,	64,	0.000099,	0.000786
16384,	128,	0.000031,	0.000806
16384,	256,	0.000020,	0.000857
16384,	512,	0.000013,	0.000726
16384,	1024,	0.000008,	0.000772
16384,	2048,	0.000005,	0.000887
16384,	4096,	0.000003,	0.000947
16384,	8192,	0.000003,	0.000979
32768,	1,	0.000520,	0.000773
32768,	2,	0.001126,	0.000767
32768,	4,	0.001861,	0.000760
32768,	8,	0.003827,	0.000771
32768,	16,	0.007548,	0.000774
32768,	32,	0.014147,	0.000764
32768,	64,	0.019646,	0.000781
32768,	128,	0.007901,	0.000788
32768,	256,	0.000417,	0.000803
32768,	512,	0.043262,	0.001027
32768,	1024,	0.000083,	0.000784
32768,	2048,	0.000016,	0.000948
32768,	4096,	0.000016,	0.001196
32768,	8192,	0.000003,	0.000932
32768,	16384,	0.000002,	0.000965
65536,	1,	0.015618,	0.000761
65536,	2,	0.031315,	0.000753
65536,	4,	0.062626,	0.000755
65536,	8,	0.125248,	0.000754
65536,	16,	0.250508,	0.000791
65536,	32,	0.500992,	0.000983
65536,	64,	1.000777,	0.001976
65536,	128,	1.000033,	0.002000
65536,	256,	1.001819,	0.002006
65536,	512,	1.004080,	0.002010
65536,	1024,	2.007169,	0.003352
65536,	2048,	1.104568,	0.003065
65536,	4096,	1.101499,	0.004016
65536,	8192,	0.000007,	0.001170
65536,	16384,	0.000003,	0.000945
65536,	32768,	0.000002,	0.000974
