array_size= 65536 	STRIDE= 4096 	nano= 53939120.000000 	 numberOfAccesses= 13107216 	AMAT= 4.115223
array_size= 65536 	STRIDE= 8192 	nano= 17138732.000000 	 numberOfAccesses= 13107208 	AMAT= 1.307581
array_size= 65536 	STRIDE= 16384 	nano= 13342107.000000 	 numberOfAccesses= 13107204 	AMAT= 1.017922
array_size= 65536 	STRIDE= 32768 	nano= 14234289.000000 	 numberOfAccesses= 13107202 	AMAT= 1.085990
array_size= 131072 	STRIDE= 1 	nano= 18819285.000000 	 numberOfAccesses= 26345472 	AMAT= 0.714327
array_size= 131072 	STRIDE= 2 	nano= 18770162.000000 	 numberOfAccesses= 26279936 	AMAT= 0.714239
array_size= 131072 	STRIDE= 4 	nano= 18787154.000000 	 numberOfAccesses= 26247168 	AMAT= 0.715778
array_size= 131072 	STRIDE= 8 	nano= 18726378.000000 	 numberOfAccesses= 26230784 	AMAT= 0.713908
array_size= 131072 	STRIDE= 16 	nano= 18928943.000000 	 numberOfAccesses= 26222592 	AMAT= 0.721856
array_size= 131072 	STRIDE= 32 	nano= 25814842.000000 	 numberOfAccesses= 26218496 	AMAT= 0.984604
array_size= 131072 	STRIDE= 64 	nano= 51565059.000000 	 numberOfAccesses= 26216448 	AMAT= 1.966897
array_size= 131072 	STRIDE= 128 	nano= 52093270.000000 	 numberOfAccesses= 26215424 	AMAT= 1.987123
array_size= 131072 	STRIDE= 256 	nano= 52175687.000000 	 numberOfAccesses= 26214912 	AMAT= 1.990306
array_size= 131072 	STRIDE= 512 	nano= 52943575.000000 	 numberOfAccesses= 26214656 	AMAT= 2.019617
array_size= 131072 	STRIDE= 1024 	nano= 89994732.000000 	 numberOfAccesses= 26214528 	AMAT= 3.433010
array_size= 131072 	STRIDE= 2048 	nano= 120907875.000000 	 numberOfAccesses= 26214464 	AMAT= 4.612258
array_size= 131072 	STRIDE= 4096 	nano= 154975506.000000 	 numberOfAccesses= 26214432 	AMAT= 5.911839
array_size= 131072 	STRIDE= 8192 	nano= 112356371.000000 	 numberOfAccesses= 26214416 	AMAT= 4.286053
array_size= 131072 	STRIDE= 16384 	nano= 30915624.000000 	 numberOfAccesses= 26214408 	AMAT= 1.179337
array_size= 131072 	STRIDE= 32768 	nano= 25873262.000000 	 numberOfAccesses= 26214404 	AMAT= 0.986986
array_size= 131072 	STRIDE= 65536 	nano= 28108589.000000 	 numberOfAccesses= 26214402 	AMAT= 1.072257
array_size= 262144 	STRIDE= 1 	nano= 37691241.000000 	 numberOfAccesses= 52690944 	AMAT= 0.715327
array_size= 262144 	STRIDE= 2 	nano= 37481480.000000 	 numberOfAccesses= 52559872 	AMAT= 0.713120
array_size= 262144 	STRIDE= 4 	nano= 37449423.000000 	 numberOfAccesses= 52494336 	AMAT= 0.713399
