8192,1,0.737662,,,,,,,,,,,,,,
8192,2,0.722682,,,,,,,,,,,,,,
8192,4,0.731025,,,,,,,,,,,,,,
8192,8,0.725689,,,,,,,,,,,,,,
8192,16,0.731574,,,,,,,,,,,,,,
8192,32,0.75382,,,,,,,,,,,,,,
8192,64,0.803244,,,,,,,,,,,,,,
8192,128,0.939775,,,,,,,8192,16384,32768,65536,131072,262144,524288,1048576
8192,256,0.943158,,,,,,1,0.737662,0.695379,0.695303,1.071025,0.69463,0.714872,0.70389,0.709087
8192,512,0.934186,,,,,,2,0.722682,0.689797,0.695311,0.694682,0.708467,0.696183,0.697211,0.697089
8192,1024,0.971029,,,,,,4,0.731025,0.7295,0.693104,0.711411,0.69642,0.696135,0.708865,0.699488
8192,2048,0.812654,,,,,,8,0.725689,0.70784,0.698682,0.70045,0.697673,0.697679,0.701218,0.699986
8192,4096,1.165976,,,,,,16,0.731574,0.714281,0.704017,0.708122,0.719934,0.735722,0.7571,0.760333
16384,1,0.695379,,,,,,32,0.75382,0.728227,0.721906,0.703074,1.013663,1.07475,1.240908,1.243524
16384,2,0.689797,,,,,,64,0.803244,0.756784,0.721568,0.959239,2.05761,2.137605,2.481545,2.456256
16384,4,0.7295,,,,,,128,0.939775,0.798976,0.802413,1.91037,2.030778,2.165289,2.590355,2.652184
16384,8,0.70784,,,,,,256,0.943158,0.908386,0.805776,1.921189,2.047499,2.198484,2.670224,2.734298
16384,16,0.714281,,,,,,512,0.934186,0.915877,0.920892,1.921996,2.058069,2.110104,2.367489,2.367588
16384,32,0.728227,,,,,,1024,0.971029,0.946427,0.91443,1.943605,3.660885,3.556794,3.70738,3.694543
16384,64,0.756784,,,,,,2048,0.812654,0.971859,0.943221,3.278337,4.891409,4.910877,4.874462,0.111699
16384,128,0.798976,,,,,,4096,1.165976,0.964674,1.153291,2.576594,6.188329,7.082978,7.601027,2.893961
16384,256,0.908386,,,,,,8192,,1.16605,0.972781,3.872251,4.013072,5.353761,7.010566,2.865905
16384,512,0.915877,,,,,,16384,,,1.071025,1.157518,1.154399,3.914159,6.316846,2.417092
16384,1024,0.946427,,,,,,32768,,,,0.970371,1.001587,1.146977,4.918603,1.63569
16384,2048,0.971859,,,,,,65536,,,,1.121438,1.150275,0.975383,1.809969,0.135989
16384,4096,0.964674,,,,,,131072,,,,,,1.146086,0.972834,1.812658
16384,8192,1.16605,,,,,,262144,,,,,,,1.144297,0.968598
32768,1,0.695303,,,,,,524288,,,,,,,,1.128669
32768,2,0.695311,,,,,,,,,,,,,,
