array_size=8192 	STRIDE=1 	 0:5596710 	  5597 	 0
array_size=8192 	STRIDE=2 	 0:3264129 	  3265 	 0
array_size=8192 	STRIDE=4 	 0:3081949 	  3082 	 0
array_size=8192 	STRIDE=8 	 0:3132462 	  3132 	 0
array_size=8192 	STRIDE=16 	 0:3074962 	  3075 	 0
array_size=8192 	STRIDE=32 	 0:2006511 	  2006 	 0
array_size=8192 	STRIDE=64 	 0:2110554 	  2110 	 0
array_size=8192 	STRIDE=128 	 0:2156786 	  2156 	 0
array_size=8192 	STRIDE=256 	 0:2088790 	  2089 	 0
array_size=8192 	STRIDE=512 	 0:2113558 	  2113 	 0
array_size=8192 	STRIDE=1024 	 0:2346454 	  2346 	 0
array_size=8192 	STRIDE=2048 	 0:2618833 	  2619 	 0
array_size=8192 	STRIDE=4096 	 0:3189056 	  3189 	 0
array_size=16384 	STRIDE=1 	 0:3953030 	  3953 	 0
array_size=16384 	STRIDE=2 	 0:3936756 	  3937 	 0
array_size=16384 	STRIDE=4 	 0:4011863 	  4012 	 0
array_size=16384 	STRIDE=8 	 0:3937829 	  3938 	 0
array_size=16384 	STRIDE=16 	 0:3947926 	  3948 	 0
array_size=16384 	STRIDE=32 	 0:3968128 	  3968 	 0
array_size=16384 	STRIDE=64 	 0:4011428 	  4012 	 0
array_size=16384 	STRIDE=128 	 0:4100118 	  4100 	 0
array_size=16384 	STRIDE=256 	 0:4291152 	  4291 	 0
array_size=16384 	STRIDE=512 	 0:4076346 	  4076 	 0
array_size=16384 	STRIDE=1024 	 0:4230114 	  4230 	 0
array_size=16384 	STRIDE=2048 	 0:4538588 	  4538 	 0
array_size=16384 	STRIDE=4096 	 0:5429825 	  5430 	 0
array_size=16384 	STRIDE=8192 	 0:6372196 	  6372 	 0
array_size=32768 	STRIDE=1 	 0:7900118 	  7900 	 0
array_size=32768 	STRIDE=2 	 0:7971896 	  7972 	 0
array_size=32768 	STRIDE=4 	 0:7883513 	  7884 	 0
array_size=32768 	STRIDE=8 	 0:7867629 	  7868 	 0
array_size=32768 	STRIDE=16 	 0:7869975 	  7870 	 0
array_size=32768 	STRIDE=32 	 0:7934236 	  7934 	 0
array_size=32768 	STRIDE=64 	 0:7935522 	  7935 	 0
array_size=32768 	STRIDE=128 	 0:8042863 	  8042 	 0
array_size=32768 	STRIDE=256 	 0:8239546 	  8240 	 0
array_size=32768 	STRIDE=512 	 0:8576235 	  8576 	 0
array_size=32768 	STRIDE=1024 	 0:8154315 	  8155 	 0
array_size=32768 	STRIDE=2048 	 0:8457256 	  8457 	 0
array_size=32768 	STRIDE=4096 	 0:10658867 	 10659 	 0
array_size=32768 	STRIDE=8192 	 0:11369049 	 11369 	 0
array_size=32768 	STRIDE=16384 	 0:13120341 	 13120 	 0
array_size=65536 	STRIDE=1 	 0:15969151 	 15969 	 0
array_size=65536 	STRIDE=2 	 0:15736470 	 15736 	 0
array_size=65536 	STRIDE=4 	 0:15716359 	 15716 	 0
array_size=65536 	STRIDE=8 	 0:15822300 	 15822 	 0
array_size=65536 	STRIDE=16 	 0:16073717 	 16073 	 0
array_size=65536 	STRIDE=32 	 0:16283769 	 16283 	 0
array_size=65536 	STRIDE=64 	 0:25568340 	 25568 	 0
array_size=65536 	STRIDE=128 	 0:25375302 	 25375 	 0
array_size=65536 	STRIDE=256 	 0:25459110 	 25459 	 0
array_size=65536 	STRIDE=512 	 0:25782886 	 25783 	 0
array_size=65536 	STRIDE=1024 	 0:28402714 	 28403 	 0
array_size=65536 	STRIDE=2048 	 0:79130369 	 79130 	 0
array_size=65536 	STRIDE=4096 	 0:54156922 	 54157 	 0
array_size=65536 	STRIDE=8192 	 0:21325302 	 21326 	 0
array_size=65536 	STRIDE=16384 	 0:21776779 	 21776 	 0
array_size=65536 	STRIDE=32768 	 0:25495543 	 25495 	 0
array_size=131072 	STRIDE=1 	 0:31597901 	 31598 	 0
array_size=131072 	STRIDE=2 	 0:31698576 	 31698 	 0
array_size=131072 	STRIDE=4 	 0:31487484 	 31487 	 0
array_size=131072 	STRIDE=8 	 0:31420159 	 31421 	 0
array_size=131072 	STRIDE=16 	 0:31457172 	 31457 	 0
array_size=131072 	STRIDE=32 	 0:32312134 	 32312 	 0
array_size=131072 	STRIDE=64 	 0:51537697 	 51538 	 0
array_size=131072 	STRIDE=128 	 0:52011208 	 52011 	 0
array_size=131072 	STRIDE=256 	 0:51907423 	 51907 	 0
array_size=131072 	STRIDE=512 	 0:52117394 	 52117 	 0
array_size=131072 	STRIDE=1024 	 0:62444760 	 62445 	 0
array_size=131072 	STRIDE=2048 	 0:102162846 	102163 	 0
array_size=131072 	STRIDE=4096 	 0:123820299 	123821 	 0
array_size=131072 	STRIDE=8192 	 0:108340755 	108340 	 0
array_size=131072 	STRIDE=16384 	 0:42645309 	 42645 	 0
array_size=131072 	STRIDE=32768 	 0:43639033 	 43639 	 0
array_size=131072 	STRIDE=65536 	 0:51005705 	 51006 	 0
array_size=262144 	STRIDE=1 	 0:63254265 	 63254 	 0
array_size=262144 	STRIDE=2 	 0:63067259 	 63067 	 0
array_size=262144 	STRIDE=4 	 0:63045845 	 63046 	 0
array_size=262144 	STRIDE=8 	 0:63426242 	 63426 	 0
