array_size=8192 	STRIDE=1 	 0:4877087 	  4878 	 0
array_size=8192 	STRIDE=2 	 0:4350930 	  4352 	 0
array_size=8192 	STRIDE=4 	 0:2655823 	  2656 	 0
array_size=8192 	STRIDE=8 	 0:2648426 	  2649 	 0
array_size=8192 	STRIDE=16 	 0:2609293 	  2610 	 0
array_size=8192 	STRIDE=32 	 0:2644867 	  2645 	 0
array_size=8192 	STRIDE=64 	 0:2463999 	  2465 	 0
array_size=8192 	STRIDE=128 	 0:2136567 	  2136 	 0
array_size=8192 	STRIDE=256 	 0:2041069 	  2041 	 0
array_size=8192 	STRIDE=512 	 0:2159293 	  2159 	 0
array_size=8192 	STRIDE=1024 	 0:2270257 	  2270 	 0
array_size=8192 	STRIDE=2048 	 0:2579367 	  2580 	 0
array_size=8192 	STRIDE=4096 	 0:3189863 	  3189 	 0
array_size=16384 	STRIDE=1 	 0:3951142 	  3951 	 0
array_size=16384 	STRIDE=2 	 0:3935782 	  3935 	 0
array_size=16384 	STRIDE=4 	 0:3934559 	  3935 	 0
array_size=16384 	STRIDE=8 	 0:3936834 	  3937 	 0
array_size=16384 	STRIDE=16 	 0:3946330 	  3946 	 0
array_size=16384 	STRIDE=32 	 0:3968693 	  3968 	 0
array_size=16384 	STRIDE=64 	 0:4011758 	  4011 	 0
array_size=16384 	STRIDE=128 	 0:4099253 	  4099 	 0
array_size=16384 	STRIDE=256 	 0:4276024 	  4276 	 0
array_size=16384 	STRIDE=512 	 0:4076411 	  4077 	 0
array_size=16384 	STRIDE=1024 	 0:4229229 	  4229 	 0
array_size=16384 	STRIDE=2048 	 0:4539529 	  4539 	 0
array_size=16384 	STRIDE=4096 	 0:5437932 	  5438 	 0
array_size=16384 	STRIDE=8192 	 0:6376161 	  6376 	 0
array_size=32768 	STRIDE=1 	 0:7893298 	  7894 	 0
array_size=32768 	STRIDE=2 	 0:7869079 	  7869 	 0
array_size=32768 	STRIDE=4 	 0:7885387 	  7885 	 0
array_size=32768 	STRIDE=8 	 0:7861392 	  7862 	 0
array_size=32768 	STRIDE=16 	 0:7909169 	  7909 	 0
array_size=32768 	STRIDE=32 	 0:7888541 	  7888 	 0
array_size=32768 	STRIDE=64 	 0:7947655 	  7948 	 0
array_size=32768 	STRIDE=128 	 0:8023479 	  8024 	 0
array_size=32768 	STRIDE=256 	 0:8216754 	  8217 	 0
array_size=32768 	STRIDE=512 	 0:8572839 	  8572 	 0
array_size=32768 	STRIDE=1024 	 0:8153580 	  8153 	 0
array_size=32768 	STRIDE=2048 	 0:8458199 	  8458 	 0
array_size=32768 	STRIDE=4096 	 0:10664456 	 10665 	 0
array_size=32768 	STRIDE=8192 	 0:10862032 	 10862 	 0
array_size=32768 	STRIDE=16384 	 0:12746635 	 12746 	 0
array_size=65536 	STRIDE=1 	 0:15812373 	 15813 	 0
array_size=65536 	STRIDE=2 	 0:15734954 	 15735 	 0
array_size=65536 	STRIDE=4 	 0:15717034 	 15717 	 0
array_size=65536 	STRIDE=8 	 0:15712053 	 15712 	 0
array_size=65536 	STRIDE=16 	 0:15718547 	 15718 	 0
array_size=65536 	STRIDE=32 	 0:16187358 	 16187 	 0
array_size=65536 	STRIDE=64 	 0:25798953 	 25799 	 0
array_size=65536 	STRIDE=128 	 0:26033564 	 26033 	 0
array_size=65536 	STRIDE=256 	 0:25464324 	 25465 	 0
array_size=65536 	STRIDE=512 	 0:25952214 	 25952 	 0
array_size=65536 	STRIDE=1024 	 0:28998799 	 28999 	 0
array_size=65536 	STRIDE=2048 	 0:67852509 	 67852 	 0
array_size=65536 	STRIDE=4096 	 0:54640693 	 54640 	 0
array_size=65536 	STRIDE=8192 	 0:21362773 	 21363 	 0
array_size=65536 	STRIDE=16384 	 0:21796755 	 21797 	 0
array_size=65536 	STRIDE=32768 	 0:25492514 	 25492 	 0
array_size=131072 	STRIDE=1 	 0:31594119 	 31594 	 0
array_size=131072 	STRIDE=2 	 0:31476445 	 31476 	 0
array_size=131072 	STRIDE=4 	 0:31449982 	 31450 	 0
array_size=131072 	STRIDE=8 	 0:31494890 	 31494 	 0
array_size=131072 	STRIDE=16 	 0:31918504 	 31918 	 0
array_size=131072 	STRIDE=32 	 0:34239481 	 34239 	 0
array_size=131072 	STRIDE=64 	 0:52265639 	 52266 	 0
array_size=131072 	STRIDE=128 	 0:52321031 	 52321 	 0
array_size=131072 	STRIDE=256 	 0:52539736 	 52540 	 0
array_size=131072 	STRIDE=512 	 0:53518330 	 53518 	 0
array_size=131072 	STRIDE=1024 	 0:61158627 	 61159 	 0
array_size=131072 	STRIDE=2048 	 0:106215828 	106216 	 0
array_size=131072 	STRIDE=4096 	 0:135037068 	135037 	 0
array_size=131072 	STRIDE=8192 	 0:112449312 	112450 	 0
array_size=131072 	STRIDE=16384 	 0:42694867 	 42695 	 0
array_size=131072 	STRIDE=32768 	 0:43574516 	 43574 	 0
array_size=131072 	STRIDE=65536 	 0:51387400 	 51387 	 0
array_size=262144 	STRIDE=1 	 0:63241457 	 63241 	 0
