array_size=8192 	STRIDE=1 	 0:5389668 	  5390 	 0
array_size=8192 	STRIDE=2 	 0:5041275 	  5041 	 0
array_size=8192 	STRIDE=4 	 0:2777289 	  2778 	 0
array_size=8192 	STRIDE=8 	 0:2514172 	  2514 	 0
array_size=8192 	STRIDE=16 	 0:2480269 	  2480 	 0
array_size=8192 	STRIDE=32 	 0:2557972 	  2558 	 0
array_size=8192 	STRIDE=64 	 0:2572761 	  2573 	 0
array_size=8192 	STRIDE=128 	 0:2159513 	  2160 	 0
array_size=8192 	STRIDE=256 	 0:2062496 	  2062 	 0
array_size=8192 	STRIDE=512 	 0:2113554 	  2114 	 0
array_size=8192 	STRIDE=1024 	 0:2270337 	  2270 	 0
array_size=8192 	STRIDE=2048 	 0:2657868 	  2658 	 0
array_size=8192 	STRIDE=4096 	 0:3190087 	  3190 	 0
array_size=16384 	STRIDE=1 	 0:3955004 	  3955 	 0
array_size=16384 	STRIDE=2 	 0:3935832 	  3936 	 0
array_size=16384 	STRIDE=4 	 0:3934536 	  3935 	 0
array_size=16384 	STRIDE=8 	 0:3938561 	  3938 	 0
array_size=16384 	STRIDE=16 	 0:3972929 	  3973 	 0
array_size=16384 	STRIDE=32 	 0:3968866 	  3969 	 0
array_size=16384 	STRIDE=64 	 0:4064043 	  4064 	 0
array_size=16384 	STRIDE=128 	 0:4103621 	  4104 	 0
array_size=16384 	STRIDE=256 	 0:4278514 	  4278 	 0
array_size=16384 	STRIDE=512 	 0:4076491 	  4077 	 0
array_size=16384 	STRIDE=1024 	 0:4229200 	  4229 	 0
array_size=16384 	STRIDE=2048 	 0:4594728 	  4595 	 0
array_size=16384 	STRIDE=4096 	 0:5437848 	  5437 	 0
array_size=16384 	STRIDE=8192 	 0:6372978 	  6373 	 0
array_size=32768 	STRIDE=1 	 0:7899181 	  7899 	 0
array_size=32768 	STRIDE=2 	 0:7868974 	  7869 	 0
array_size=32768 	STRIDE=4 	 0:7861636 	  7861 	 0
array_size=32768 	STRIDE=8 	 0:7861367 	  7861 	 0
array_size=32768 	STRIDE=16 	 0:7870784 	  7871 	 0
array_size=32768 	STRIDE=32 	 0:7891702 	  7891 	 0
array_size=32768 	STRIDE=64 	 0:7950179 	  7950 	 0
array_size=32768 	STRIDE=128 	 0:8092002 	  8092 	 0
array_size=32768 	STRIDE=256 	 0:8401263 	  8401 	 0
array_size=32768 	STRIDE=512 	 0:8613309 	  8614 	 0
array_size=32768 	STRIDE=1024 	 0:8151353 	  8151 	 0
array_size=32768 	STRIDE=2048 	 0:8458249 	  8458 	 0
array_size=32768 	STRIDE=4096 	 0:10663159 	 10663 	 0
array_size=32768 	STRIDE=8192 	 0:10890602 	 10890 	 0
array_size=32768 	STRIDE=16384 	 0:12746825 	 12747 	 0
array_size=65536 	STRIDE=1 	 0:15845201 	 15845 	 0
array_size=65536 	STRIDE=2 	 0:15735945 	 15736 	 0
array_size=65536 	STRIDE=4 	 0:15716422 	 15717 	 0
array_size=65536 	STRIDE=8 	 0:15716216 	 15716 	 0
array_size=65536 	STRIDE=16 	 0:15717836 	 15718 	 0
array_size=65536 	STRIDE=32 	 0:16070304 	 16070 	 0
array_size=65536 	STRIDE=64 	 0:25330305 	 25330 	 0
array_size=65536 	STRIDE=128 	 0:25170322 	 25170 	 0
array_size=65536 	STRIDE=256 	 0:25281690 	 25282 	 0
