array_size=8192 	STRIDE=1 	 0:5250754 	  5252 	 0
array_size=8192 	STRIDE=2 	 0:3280538 	  3280 	 0
array_size=8192 	STRIDE=4 	 0:3379892 	  3379 	 0
array_size=8192 	STRIDE=8 	 0:3381019 	  3381 	 0
array_size=8192 	STRIDE=16 	 0:2619469 	  2620 	 0
array_size=8192 	STRIDE=32 	 0:2006178 	  2006 	 0
array_size=8192 	STRIDE=64 	 0:2106993 	  2107 	 0
array_size=8192 	STRIDE=128 	 0:2159522 	  2160 	 0
array_size=8192 	STRIDE=256 	 0:2079155 	  2079 	 0
array_size=8192 	STRIDE=512 	 0:2113553 	  2114 	 0
array_size=8192 	STRIDE=1024 	 0:2360492 	  2360 	 0
array_size=8192 	STRIDE=2048 	 0:2599428 	  2600 	 0
array_size=8192 	STRIDE=4096 	 0:3188436 	  3188 	 0
array_size=16384 	STRIDE=1 	 0:4040130 	  4040 	 0
array_size=16384 	STRIDE=2 	 0:3940430 	  3940 	 0
array_size=16384 	STRIDE=4 	 0:3930122 	  3930 	 0
array_size=16384 	STRIDE=8 	 0:3936845 	  3937 	 0
array_size=16384 	STRIDE=16 	 0:3947406 	  3947 	 0
array_size=16384 	STRIDE=32 	 0:3968038 	  3968 	 0
array_size=16384 	STRIDE=64 	 0:4011420 	  4012 	 0
array_size=16384 	STRIDE=128 	 0:4101011 	  4101 	 0
array_size=16384 	STRIDE=256 	 0:4278741 	  4278 	 0
array_size=16384 	STRIDE=512 	 0:4077099 	  4077 	 0
array_size=16384 	STRIDE=1024 	 0:4229421 	  4230 	 0
array_size=16384 	STRIDE=2048 	 0:4535239 	  4535 	 0
array_size=16384 	STRIDE=4096 	 0:5439022 	  5439 	 0
array_size=16384 	STRIDE=8192 	 0:6375412 	  6375 	 0
array_size=32768 	STRIDE=1 	 0:7900595 	  7901 	 0
array_size=32768 	STRIDE=2 	 0:7868578 	  7869 	 0
array_size=32768 	STRIDE=4 	 0:7883392 	  7883 	 0
array_size=32768 	STRIDE=8 	 0:7862078 	  7862 	 0
array_size=32768 	STRIDE=16 	 0:7871457 	  7871 	 0
array_size=32768 	STRIDE=32 	 0:7890575 	  7890 	 0
array_size=32768 	STRIDE=64 	 0:7935471 	  7935 	 0
array_size=32768 	STRIDE=128 	 0:8022810 	  8022 	 0
array_size=32768 	STRIDE=256 	 0:8212606 	  8213 	 0
array_size=32768 	STRIDE=512 	 0:8573089 	  8573 	 0
array_size=32768 	STRIDE=1024 	 0:8153165 	  8153 	 0
array_size=32768 	STRIDE=2048 	 0:8457280 	  8457 	 0
array_size=32768 	STRIDE=4096 	 0:10664582 	 10665 	 0
array_size=32768 	STRIDE=8192 	 0:10853862 	 10854 	 0
array_size=32768 	STRIDE=16384 	 0:12746858 	 12747 	 0
array_size=65536 	STRIDE=1 	 0:15789017 	 15789 	 0
array_size=65536 	STRIDE=2 	 0:15733039 	 15733 	 0
array_size=65536 	STRIDE=4 	 0:15716139 	 15716 	 0
array_size=65536 	STRIDE=8 	 0:15711097 	 15711 	 0
array_size=65536 	STRIDE=16 	 0:15718081 	 15718 	 0
array_size=65536 	STRIDE=32 	 0:16054155 	 16054 	 0
array_size=65536 	STRIDE=64 	 0:25417241 	 25417 	 0
array_size=65536 	STRIDE=128 	 0:25034392 	 25034 	 0
