array_size=8192 	STRIDE=1 	 0:5352393 	  5353 	 0
array_size=8192 	STRIDE=2 	 0:3461481 	  3462 	 0
array_size=8192 	STRIDE=4 	 0:3287724 	  3288 	 0
array_size=8192 	STRIDE=8 	 0:3339505 	  3339 	 0
array_size=8192 	STRIDE=16 	 0:2861360 	  2861 	 0
array_size=8192 	STRIDE=32 	 0:2006448 	  2006 	 0
array_size=8192 	STRIDE=64 	 0:2102998 	  2103 	 0
array_size=8192 	STRIDE=128 	 0:2184960 	  2185 	 0
array_size=8192 	STRIDE=256 	 0:2078057 	  2078 	 0
array_size=8192 	STRIDE=512 	 0:2113551 	  2114 	 0
array_size=8192 	STRIDE=1024 	 0:2353262 	  2353 	 0
array_size=8192 	STRIDE=2048 	 0:2608809 	  2609 	 0
array_size=8192 	STRIDE=4096 	 0:3184999 	  3185 	 0
array_size=16384 	STRIDE=1 	 0:4197835 	  4198 	 0
array_size=16384 	STRIDE=2 	 0:4019000 	  4019 	 0
array_size=16384 	STRIDE=4 	 0:4180964 	  4181 	 0
array_size=16384 	STRIDE=8 	 0:3994069 	  3994 	 0
array_size=16384 	STRIDE=16 	 0:4110808 	  4110 	 0
array_size=16384 	STRIDE=32 	 0:4040891 	  4041 	 0
array_size=16384 	STRIDE=64 	 0:4125283 	  4125 	 0
array_size=16384 	STRIDE=128 	 0:4099913 	  4100 	 0
array_size=16384 	STRIDE=256 	 0:4369827 	  4370 	 0
array_size=16384 	STRIDE=512 	 0:4078057 	  4078 	 0
array_size=16384 	STRIDE=1024 	 0:4266117 	  4266 	 0
array_size=16384 	STRIDE=2048 	 0:4573944 	  4574 	 0
array_size=16384 	STRIDE=4096 	 0:5476908 	  5477 	 0
array_size=16384 	STRIDE=8192 	 0:6376408 	  6377 	 0
array_size=32768 	STRIDE=1 	 0:7900918 	  7900 	 0
array_size=32768 	STRIDE=2 	 0:7873381 	  7873 	 0
array_size=32768 	STRIDE=4 	 0:7960450 	  7961 	 0
array_size=32768 	STRIDE=8 	 0:7989269 	  7989 	 0
array_size=32768 	STRIDE=16 	 0:8045600 	  8046 	 0
array_size=32768 	STRIDE=32 	 0:7964392 	  7964 	 0
array_size=32768 	STRIDE=64 	 0:7973808 	  7974 	 0
array_size=32768 	STRIDE=128 	 0:8022918 	  8023 	 0
array_size=32768 	STRIDE=256 	 0:8212697 	  8213 	 0
array_size=32768 	STRIDE=512 	 0:8573499 	  8573 	 0
array_size=32768 	STRIDE=1024 	 0:8153280 	  8153 	 0
array_size=32768 	STRIDE=2048 	 0:8474085 	  8475 	 0
array_size=32768 	STRIDE=4096 	 0:10668809 	 10669 	 0
array_size=32768 	STRIDE=8192 	 0:10855899 	 10856 	 0
array_size=32768 	STRIDE=16384 	 0:12746783 	 12747 	 0
array_size=65536 	STRIDE=1 	 0:15790400 	 15790 	 0
array_size=65536 	STRIDE=2 	 0:15732747 	 15733 	 0
array_size=65536 	STRIDE=4 	 0:15715709 	 15715 	 0
array_size=65536 	STRIDE=8 	 0:15710826 	 15710 	 0
array_size=65536 	STRIDE=16 	 0:15718816 	 15718 	 0
array_size=65536 	STRIDE=32 	 0:16056261 	 16056 	 0
array_size=65536 	STRIDE=64 	 0:25405695 	 25406 	 0
array_size=65536 	STRIDE=128 	 0:25255260 	 25255 	 0
array_size=65536 	STRIDE=256 	 0:25481723 	 25482 	 0
array_size=65536 	STRIDE=512 	 0:25965111 	 25965 	 0
array_size=65536 	STRIDE=1024 	 0:28544873 	 28544 	 0
array_size=65536 	STRIDE=2048 	 0:77708024 	 77708 	 0
array_size=65536 	STRIDE=4096 	 0:54446724 	 54446 	 0
array_size=65536 	STRIDE=8192 	 0:21333182 	 21333 	 0
array_size=65536 	STRIDE=16384 	 0:21739097 	 21739 	 0
array_size=65536 	STRIDE=32768 	 0:25492064 	 25492 	 0
array_size=131072 	STRIDE=1 	 0:31619101 	 31619 	 0
array_size=131072 	STRIDE=2 	 0:31487072 	 31487 	 0
array_size=131072 	STRIDE=4 	 0:31431537 	 31432 	 0
array_size=131072 	STRIDE=8 	 0:31466442 	 31466 	 0
array_size=131072 	STRIDE=16 	 0:31444242 	 31444 	 0
array_size=131072 	STRIDE=32 	 0:32379964 	 32379 	 0
array_size=131072 	STRIDE=64 	 0:51569860 	 51569 	 0
array_size=131072 	STRIDE=128 	 0:51933307 	 51933 	 0
array_size=131072 	STRIDE=256 	 0:51900594 	 51900 	 0
array_size=131072 	STRIDE=512 	 0:52297417 	 52297 	 0
array_size=131072 	STRIDE=1024 	 0:63326738 	 63327 	 0
array_size=131072 	STRIDE=2048 	 0:102307753 	102308 	 0
array_size=131072 	STRIDE=4096 	 0:123243349 	123244 	 0
array_size=131072 	STRIDE=8192 	 0:108551727 	108551 	 0
array_size=131072 	STRIDE=16384 	 0:42650932 	 42651 	 0
array_size=131072 	STRIDE=32768 	 0:43540805 	 43541 	 0
array_size=131072 	STRIDE=65536 	 0:51354247 	 51354 	 0
array_size=262144 	STRIDE=1 	 0:63201563 	 63201 	 0
array_size=262144 	STRIDE=2 	 0:63027050 	 63026 	 0
array_size=262144 	STRIDE=4 	 0:62977188 	 62978 	 0
array_size=262144 	STRIDE=8 	 0:63399585 	 63399 	 0
array_size=262144 	STRIDE=16 	 0:66456657 	 66456 	 0
array_size=262144 	STRIDE=32 	 0:78542630 	 78543 	 0
array_size=262144 	STRIDE=64 	 0:109070232 	109069 	 0
array_size=262144 	STRIDE=128 	 0:109470833 	109471 	 0
array_size=262144 	STRIDE=256 	 0:109443121 	109443 	 0
array_size=262144 	STRIDE=512 	 0:116591408 	116592 	 0
array_size=262144 	STRIDE=1024 	 0:133868762 	133869 	 0
array_size=262144 	STRIDE=2048 	 0:209299883 	209300 	 0
array_size=262144 	STRIDE=4096 	 0:266670692 	266670 	 0
array_size=262144 	STRIDE=8192 	 0:247485946 	247486 	 0
array_size=262144 	STRIDE=16384 	 0:216752770 	216752 	 0
array_size=262144 	STRIDE=32768 	 0:86119141 	 86119 	 0
array_size=262144 	STRIDE=65536 	 0:86941981 	 86942 	 0
array_size=262144 	STRIDE=131072 	 0:102041378 	102042 	 0
