array_size=8192 	STRIDE=1 	 0:5520201 	  5520 	 0
array_size=8192 	STRIDE=2 	 0:3505954 	  3506 	 0
array_size=8192 	STRIDE=4 	 0:3176332 	  3176 	 0
array_size=8192 	STRIDE=8 	 0:3135242 	  3135 	 0
array_size=8192 	STRIDE=16 	 0:3106951 	  3107 	 0
array_size=8192 	STRIDE=32 	 0:2015963 	  2016 	 0
array_size=8192 	STRIDE=64 	 0:2106503 	  2107 	 0
array_size=8192 	STRIDE=128 	 0:2137124 	  2137 	 0
array_size=8192 	STRIDE=256 	 0:2074496 	  2075 	 0
array_size=8192 	STRIDE=512 	 0:2113730 	  2113 	 0
array_size=8192 	STRIDE=1024 	 0:2271448 	  2272 	 0
array_size=8192 	STRIDE=2048 	 0:2657679 	  2657 	 0
array_size=8192 	STRIDE=4096 	 0:3229045 	  3229 	 0
array_size=16384 	STRIDE=1 	 0:3954941 	  3954 	 0
array_size=16384 	STRIDE=2 	 0:3936931 	  3936 	 0
array_size=16384 	STRIDE=4 	 0:3933865 	  3934 	 0
array_size=16384 	STRIDE=8 	 0:4031047 	  4031 	 0
array_size=16384 	STRIDE=16 	 0:3947572 	  3948 	 0
array_size=16384 	STRIDE=32 	 0:3967981 	  3968 	 0
array_size=16384 	STRIDE=64 	 0:4128663 	  4128 	 0
array_size=16384 	STRIDE=128 	 0:4134885 	  4135 	 0
array_size=16384 	STRIDE=256 	 0:4276080 	  4276 	 0
array_size=16384 	STRIDE=512 	 0:4116686 	  4116 	 0
array_size=16384 	STRIDE=1024 	 0:4266942 	  4267 	 0
array_size=16384 	STRIDE=2048 	 0:4561918 	  4562 	 0
array_size=16384 	STRIDE=4096 	 0:5438642 	  5439 	 0
array_size=16384 	STRIDE=8192 	 0:6372245 	  6372 	 0
array_size=32768 	STRIDE=1 	 0:7899199 	  7899 	 0
array_size=32768 	STRIDE=2 	 0:7867841 	  7868 	 0
array_size=32768 	STRIDE=4 	 0:7949370 	  7949 	 0
array_size=32768 	STRIDE=8 	 0:7861796 	  7862 	 0
array_size=32768 	STRIDE=16 	 0:7869781 	  7870 	 0
array_size=32768 	STRIDE=32 	 0:7891519 	  7891 	 0
array_size=32768 	STRIDE=64 	 0:7935320 	  7935 	 0
array_size=32768 	STRIDE=128 	 0:8022026 	  8022 	 0
array_size=32768 	STRIDE=256 	 0:8213577 	  8213 	 0
array_size=32768 	STRIDE=512 	 0:8599766 	  8600 	 0
array_size=32768 	STRIDE=1024 	 0:8154874 	  8155 	 0
array_size=32768 	STRIDE=2048 	 0:8457521 	  8458 	 0
array_size=32768 	STRIDE=4096 	 0:10663682 	 10663 	 0
array_size=32768 	STRIDE=8192 	 0:10910651 	 10911 	 0
array_size=32768 	STRIDE=16384 	 0:12871757 	 12872 	 0
array_size=65536 	STRIDE=1 	 0:15889554 	 15889 	 0
array_size=65536 	STRIDE=2 	 0:15858251 	 15858 	 0
array_size=65536 	STRIDE=4 	 0:15716071 	 15716 	 0
array_size=65536 	STRIDE=8 	 0:15711319 	 15712 	 0
array_size=65536 	STRIDE=16 	 0:15718042 	 15718 	 0
array_size=65536 	STRIDE=32 	 0:16051300 	 16051 	 0
array_size=65536 	STRIDE=64 	 0:25295154 	 25295 	 0
array_size=65536 	STRIDE=128 	 0:25304401 	 25304 	 0
array_size=65536 	STRIDE=256 	 0:25390984 	 25391 	 0
array_size=65536 	STRIDE=512 	 0:25753648 	 25754 	 0
array_size=65536 	STRIDE=1024 	 0:28516001 	 28516 	 0
array_size=65536 	STRIDE=2048 	 0:75869335 	 75869 	 0
array_size=65536 	STRIDE=4096 	 0:54368240 	 54368 	 0
array_size=65536 	STRIDE=8192 	 0:21569247 	 21570 	 0
array_size=65536 	STRIDE=16384 	 0:21807685 	 21807 	 0
array_size=65536 	STRIDE=32768 	 0:26761294 	 26762 	 0
array_size=131072 	STRIDE=1 	 0:31607815 	 31608 	 0
array_size=131072 	STRIDE=2 	 0:31556161 	 31556 	 0
array_size=131072 	STRIDE=4 	 0:31653729 	 31653 	 0
array_size=131072 	STRIDE=8 	 0:31503931 	 31504 	 0
array_size=131072 	STRIDE=16 	 0:31860634 	 31860 	 0
array_size=131072 	STRIDE=32 	 0:32715806 	 32715 	 0
array_size=131072 	STRIDE=64 	 0:51583024 	 51583 	 0
array_size=131072 	STRIDE=128 	 0:51990124 	 51990 	 0
array_size=131072 	STRIDE=256 	 0:51751918 	 51752 	 0
array_size=131072 	STRIDE=512 	 0:52111867 	 52111 	 0
array_size=131072 	STRIDE=1024 	 0:63592375 	 63592 	 0
array_size=131072 	STRIDE=2048 	 0:102650610 	102650 	 0
array_size=131072 	STRIDE=4096 	 0:123669620 	123669 	 0
array_size=131072 	STRIDE=8192 	 0:108490936 	108490 	 0
array_size=131072 	STRIDE=16384 	 0:42666659 	 42667 	 0
array_size=131072 	STRIDE=32768 	 0:43492930 	 43493 	 0
array_size=131072 	STRIDE=65536 	 0:51006839 	 51007 	 0
array_size=262144 	STRIDE=1 	 0:63886259 	 63886 	 0
array_size=262144 	STRIDE=2 	 0:63418204 	 63418 	 0
array_size=262144 	STRIDE=4 	 0:63087562 	 63087 	 0
array_size=262144 	STRIDE=8 	 0:63793590 	 63794 	 0
array_size=262144 	STRIDE=16 	 0:66822948 	 66822 	 0
array_size=262144 	STRIDE=32 	 0:80114889 	 80115 	 0
