array_size=8192 	STRIDE=1 	 0:5349993 	  5350 	 0
array_size=8192 	STRIDE=2 	 0:3335027 	  3335 	 0
array_size=8192 	STRIDE=4 	 0:3082621 	  3082 	 0
array_size=8192 	STRIDE=8 	 0:3133348 	  3133 	 0
array_size=8192 	STRIDE=16 	 0:3107019 	  3107 	 0
array_size=8192 	STRIDE=32 	 0:2018415 	  2018 	 0
array_size=8192 	STRIDE=64 	 0:2098158 	  2098 	 0
array_size=8192 	STRIDE=128 	 0:2137136 	  2138 	 0
array_size=8192 	STRIDE=256 	 0:2079623 	  2079 	 0
array_size=8192 	STRIDE=512 	 0:2113543 	  2114 	 0
array_size=8192 	STRIDE=1024 	 0:2276433 	  2276 	 0
array_size=8192 	STRIDE=2048 	 0:2694119 	  2694 	 0
array_size=8192 	STRIDE=4096 	 0:3190679 	  3191 	 0
array_size=16384 	STRIDE=1 	 0:3955011 	  3955 	 0
array_size=16384 	STRIDE=2 	 0:3937441 	  3937 	 0
array_size=16384 	STRIDE=4 	 0:3933964 	  3933 	 0
array_size=16384 	STRIDE=8 	 0:3936734 	  3937 	 0
array_size=16384 	STRIDE=16 	 0:3947355 	  3947 	 0
array_size=16384 	STRIDE=32 	 0:3968113 	  3968 	 0
array_size=16384 	STRIDE=64 	 0:4011516 	  4011 	 0
array_size=16384 	STRIDE=128 	 0:4100224 	  4100 	 0
array_size=16384 	STRIDE=256 	 0:4330714 	  4331 	 0
array_size=16384 	STRIDE=512 	 0:4076515 	  4077 	 0
array_size=16384 	STRIDE=1024 	 0:4232820 	  4232 	 0
array_size=16384 	STRIDE=2048 	 0:4538703 	  4538 	 0
array_size=16384 	STRIDE=4096 	 0:5438826 	  5439 	 0
array_size=16384 	STRIDE=8192 	 0:6372278 	  6372 	 0
array_size=32768 	STRIDE=1 	 0:7899355 	  7899 	 0
array_size=32768 	STRIDE=2 	 0:7891733 	  7891 	 0
array_size=32768 	STRIDE=4 	 0:7861939 	  7862 	 0
array_size=32768 	STRIDE=8 	 0:7875647 	  7876 	 0
array_size=32768 	STRIDE=16 	 0:8023458 	  8023 	 0
array_size=32768 	STRIDE=32 	 0:8971321 	  8971 	 0
array_size=32768 	STRIDE=64 	 0:8882943 	  8883 	 0
array_size=32768 	STRIDE=128 	 0:8044268 	  8044 	 0
array_size=32768 	STRIDE=256 	 0:8212566 	  8213 	 0
array_size=32768 	STRIDE=512 	 0:8573903 	  8574 	 0
array_size=32768 	STRIDE=1024 	 0:8195854 	  8196 	 0
array_size=32768 	STRIDE=2048 	 0:8457212 	  8457 	 0
array_size=32768 	STRIDE=4096 	 0:10696275 	 10696 	 0
array_size=32768 	STRIDE=8192 	 0:10878680 	 10879 	 0
array_size=32768 	STRIDE=16384 	 0:12769164 	 12769 	 0
array_size=65536 	STRIDE=1 	 0:15900479 	 15901 	 0
array_size=65536 	STRIDE=2 	 0:15862658 	 15863 	 0
array_size=65536 	STRIDE=4 	 0:15752206 	 15752 	 0
array_size=65536 	STRIDE=8 	 0:15712199 	 15712 	 0
array_size=65536 	STRIDE=16 	 0:15717987 	 15718 	 0
array_size=65536 	STRIDE=32 	 0:16106779 	 16107 	 0
array_size=65536 	STRIDE=64 	 0:26095010 	 26095 	 0
array_size=65536 	STRIDE=128 	 0:25370998 	 25371 	 0
array_size=65536 	STRIDE=256 	 0:25387557 	 25387 	 0
array_size=65536 	STRIDE=512 	 0:25792089 	 25792 	 0
array_size=65536 	STRIDE=1024 	 0:28638553 	 28639 	 0
array_size=65536 	STRIDE=2048 	 0:46142997 	 46143 	 0
array_size=65536 	STRIDE=4096 	 0:55781025 	 55781 	 0
array_size=65536 	STRIDE=8192 	 0:21334114 	 21334 	 0
array_size=65536 	STRIDE=16384 	 0:21715877 	 21716 	 0
array_size=65536 	STRIDE=32768 	 0:25514075 	 25514 	 0
array_size=131072 	STRIDE=1 	 0:31697481 	 31697 	 0
array_size=131072 	STRIDE=2 	 0:31632522 	 31633 	 0
array_size=131072 	STRIDE=4 	 0:31486838 	 31486 	 0
array_size=131072 	STRIDE=8 	 0:31516939 	 31517 	 0
array_size=131072 	STRIDE=16 	 0:31669230 	 31669 	 0
array_size=131072 	STRIDE=32 	 0:32270235 	 32270 	 0
array_size=131072 	STRIDE=64 	 0:51411075 	 51411 	 0
array_size=131072 	STRIDE=128 	 0:51723213 	 51723 	 0
array_size=131072 	STRIDE=256 	 0:51648280 	 51648 	 0
array_size=131072 	STRIDE=512 	 0:52059657 	 52060 	 0
array_size=131072 	STRIDE=1024 	 0:62162210 	 62162 	 0
array_size=131072 	STRIDE=2048 	 0:102366817 	102366 	 0
array_size=131072 	STRIDE=4096 	 0:123694468 	123695 	 0
array_size=131072 	STRIDE=8192 	 0:108995010 	108995 	 0
array_size=131072 	STRIDE=16384 	 0:42671183 	 42671 	 0
array_size=131072 	STRIDE=32768 	 0:43499172 	 43499 	 0
array_size=131072 	STRIDE=65536 	 0:51090768 	 51091 	 0
array_size=262144 	STRIDE=1 	 0:63482835 	 63482 	 0
array_size=262144 	STRIDE=2 	 0:63053476 	 63053 	 0
array_size=262144 	STRIDE=4 	 0:63283929 	 63284 	 0
array_size=262144 	STRIDE=8 	 0:63506420 	 63507 	 0
array_size=262144 	STRIDE=16 	 0:66643024 	 66642 	 0
array_size=262144 	STRIDE=32 	 0:81068679 	 81068 	 0
