array_size=8192 	STRIDE=1 	 0:5550332 	  5551 	 0
array_size=8192 	STRIDE=2 	 0:3780161 	  3781 	 0
array_size=8192 	STRIDE=4 	 0:2739480 	  2739 	 0
array_size=8192 	STRIDE=8 	 0:2740658 	  2741 	 0
array_size=8192 	STRIDE=16 	 0:2801216 	  2801 	 0
array_size=8192 	STRIDE=32 	 0:2605950 	  2606 	 0
array_size=8192 	STRIDE=64 	 0:2049615 	  2049 	 0
array_size=8192 	STRIDE=128 	 0:2181770 	  2182 	 0
array_size=8192 	STRIDE=256 	 0:2037925 	  2037 	 0
array_size=8192 	STRIDE=512 	 0:2142869 	  2142 	 0
array_size=8192 	STRIDE=1024 	 0:2266598 	  2267 	 0
array_size=8192 	STRIDE=2048 	 0:2617511 	  2617 	 0
array_size=8192 	STRIDE=4096 	 0:3230353 	  3231 	 0
array_size=16384 	STRIDE=1 	 0:3955241 	  3955 	 0
array_size=16384 	STRIDE=2 	 0:3936758 	  3937 	 0
array_size=16384 	STRIDE=4 	 0:3933737 	  3934 	 0
array_size=16384 	STRIDE=8 	 0:3939455 	  3939 	 0
array_size=16384 	STRIDE=16 	 0:3947595 	  3948 	 0
array_size=16384 	STRIDE=32 	 0:3967982 	  3968 	 0
array_size=16384 	STRIDE=64 	 0:4011410 	  4011 	 0
array_size=16384 	STRIDE=128 	 0:4177275 	  4177 	 0
array_size=16384 	STRIDE=256 	 0:4278091 	  4278 	 0
array_size=16384 	STRIDE=512 	 0:4076302 	  4076 	 0
array_size=16384 	STRIDE=1024 	 0:4230086 	  4230 	 0
array_size=16384 	STRIDE=2048 	 0:4557000 	  4557 	 0
array_size=16384 	STRIDE=4096 	 0:5440389 	  5440 	 0
array_size=16384 	STRIDE=8192 	 0:6376346 	  6377 	 0
array_size=32768 	STRIDE=1 	 0:7900417 	  7900 	 0
array_size=32768 	STRIDE=2 	 0:7868433 	  7868 	 0
array_size=32768 	STRIDE=4 	 0:7861885 	  7862 	 0
array_size=32768 	STRIDE=8 	 0:7900392 	  7900 	 0
array_size=32768 	STRIDE=16 	 0:7942983 	  7942 	 0
array_size=32768 	STRIDE=32 	 0:7928723 	  7928 	 0
array_size=32768 	STRIDE=64 	 0:7990038 	  7990 	 0
array_size=32768 	STRIDE=128 	 0:8021811 	  8021 	 0
array_size=32768 	STRIDE=256 	 0:8213698 	  8214 	 0
array_size=32768 	STRIDE=512 	 0:8617880 	  8618 	 0
array_size=32768 	STRIDE=1024 	 0:8153799 	  8154 	 0
array_size=32768 	STRIDE=2048 	 0:8458195 	  8458 	 0
array_size=32768 	STRIDE=4096 	 0:10668929 	 10669 	 0
array_size=32768 	STRIDE=8192 	 0:10865513 	 10865 	 0
array_size=32768 	STRIDE=16384 	 0:12746785 	 12747 	 0
array_size=65536 	STRIDE=1 	 0:15788797 	 15789 	 0
array_size=65536 	STRIDE=2 	 0:15736401 	 15737 	 0
array_size=65536 	STRIDE=4 	 0:15850752 	 15851 	 0
