array_size=8192 	STRIDE=1 	 0:5430315 	  5430 	 0
array_size=8192 	STRIDE=2 	 0:3471804 	  3472 	 0
array_size=8192 	STRIDE=4 	 0:3128162 	  3128 	 0
array_size=8192 	STRIDE=8 	 0:3179080 	  3179 	 0
array_size=8192 	STRIDE=16 	 0:3154700 	  3102 	 0
array_size=8192 	STRIDE=32 	 0:2059209 	  2059 	 0
array_size=8192 	STRIDE=64 	 0:2110677 	  2110 	 0
array_size=8192 	STRIDE=128 	 0:2137436 	  2137 	 0
array_size=8192 	STRIDE=256 	 0:2156649 	  2157 	 0
array_size=8192 	STRIDE=512 	 0:2113776 	  2114 	 0
array_size=8192 	STRIDE=1024 	 0:2305889 	  2305 	 0
array_size=8192 	STRIDE=2048 	 0:2651842 	  2652 	 0
array_size=8192 	STRIDE=4096 	 0:3190067 	  3190 	 0
array_size=16384 	STRIDE=1 	 0:3953898 	  3954 	 0
array_size=16384 	STRIDE=2 	 0:3937002 	  3937 	 0
array_size=16384 	STRIDE=4 	 0:3933882 	  3934 	 0
array_size=16384 	STRIDE=8 	 0:3936773 	  3937 	 0
array_size=16384 	STRIDE=16 	 0:4025486 	  4026 	 0
array_size=16384 	STRIDE=32 	 0:3968970 	  3969 	 0
array_size=16384 	STRIDE=64 	 0:4012007 	  4012 	 0
array_size=16384 	STRIDE=128 	 0:4100371 	  4101 	 0
array_size=16384 	STRIDE=256 	 0:4275388 	  4275 	 0
array_size=16384 	STRIDE=512 	 0:4124026 	  4124 	 0
array_size=16384 	STRIDE=1024 	 0:4230140 	  4230 	 0
array_size=16384 	STRIDE=2048 	 0:4535457 	  4536 	 0
array_size=16384 	STRIDE=4096 	 0:5493099 	  5493 	 0
array_size=16384 	STRIDE=8192 	 0:6376362 	  6376 	 0
array_size=32768 	STRIDE=1 	 0:7900204 	  7900 	 0
array_size=32768 	STRIDE=2 	 0:7867859 	  7868 	 0
array_size=32768 	STRIDE=4 	 0:7861778 	  7861 	 0
array_size=32768 	STRIDE=8 	 0:7862028 	  7862 	 0
array_size=32768 	STRIDE=16 	 0:7869757 	  7869 	 0
array_size=32768 	STRIDE=32 	 0:7891546 	  7892 	 0
array_size=32768 	STRIDE=64 	 0:7935269 	  7935 	 0
array_size=32768 	STRIDE=128 	 0:8021785 	  8022 	 0
array_size=32768 	STRIDE=256 	 0:8213742 	  8214 	 0
array_size=32768 	STRIDE=512 	 0:8573079 	  8573 	 0
array_size=32768 	STRIDE=1024 	 0:8151275 	  8151 	 0
array_size=32768 	STRIDE=2048 	 0:8461350 	  8462 	 0
array_size=32768 	STRIDE=4096 	 0:11217040 	 11217 	 0
array_size=32768 	STRIDE=8192 	 0:16918066 	 16918 	 0
array_size=32768 	STRIDE=16384 	 0:12746707 	 12747 	 0
array_size=65536 	STRIDE=1 	 0:15932619 	 15932 	 0
array_size=65536 	STRIDE=2 	 0:15754141 	 15754 	 0
array_size=65536 	STRIDE=4 	 0:15739126 	 15739 	 0
array_size=65536 	STRIDE=8 	 0:15724047 	 15724 	 0
array_size=65536 	STRIDE=16 	 0:15717463 	 15717 	 0
array_size=65536 	STRIDE=32 	 0:16289598 	 16289 	 0
array_size=65536 	STRIDE=64 	 0:25841893 	 25842 	 0
array_size=65536 	STRIDE=128 	 0:25201070 	 25201 	 0
