8192, 1, 0.737662,
8192, 2, 0.722682,
8192, 4, 0.731025,
8192, 8, 0.725689,
8192, 16, 0.731574,
8192, 32, 0.753820,
8192, 64, 0.803244,
8192, 128, 0.939775,
8192, 256, 0.943158,
8192, 512, 0.934186,
8192, 1024, 0.971029,
8192, 2048, 0.812654,
8192, 4096, 1.165976,
16384, 1, 0.695379,
16384, 2, 0.689797,
16384, 4, 0.729500,
16384, 8, 0.707840,
16384, 16, 0.714281,
16384, 32, 0.728227,
16384, 64, 0.756784,
16384, 128, 0.798976,
16384, 256, 0.908386,
16384, 512, 0.915877,
16384, 1024, 0.946427,
16384, 2048, 0.971859,
16384, 4096, 0.964674,
16384, 8192, 1.166050,
32768, 1, 0.695303,
32768, 2, 0.695311,
32768, 4, 0.693104,
32768, 8, 0.698682,
32768, 16, 0.704017,
32768, 32, 0.721906,
32768, 64, 0.721568,
32768, 128, 0.802413,
32768, 256, 0.805776,
32768, 512, 0.920892,
32768, 1024, 0.914430,
32768, 2048, 0.943221,
32768, 4096, 1.153291,
32768, 8192, 0.972781,
32768, 16384, 1.071025,
65536, 1, 0.694682,
65536, 2, 0.711411,
65536, 4, 0.700450,
65536, 8, 0.708122,
65536, 16, 0.703074,
65536, 32, 0.959239,
65536, 64, 1.910370,
65536, 128, 1.921189,
65536, 256, 1.921996,
65536, 512, 1.943605,
65536, 1024, 3.278337,
65536, 2048, 2.576594,
65536, 4096, 3.872251,
65536, 8192, 1.157518,
65536, 16384, 0.970371,
65536, 32768, 1.121438,
131072, 1, 0.694630,
131072, 2, 0.708467,
131072, 4, 0.696420,
131072, 8, 0.697673,
131072, 16, 0.719934,
131072, 32, 1.013663,
131072, 64, 2.057610,
131072, 128, 2.030778,
131072, 256, 2.047499,
131072, 512, 2.058069,
131072, 1024, 3.660885,
131072, 2048, 4.891409,
131072, 4096, 6.188329,
131072, 8192, 4.013072,
131072, 16384, 1.154399,
131072, 32768, 1.001587,
131072, 65536, 1.150275,
262144, 1, 0.714872,
262144, 2, 0.696183,
262144, 4, 0.696135,
262144, 8, 0.697679,
262144, 16, 0.735722,
262144, 32, 1.074750,
262144, 64, 2.137605,
262144, 128, 2.165289,
262144, 256, 2.198484,
262144, 512, 2.110104,
262144, 1024, 3.556794,
262144, 2048, 4.910877,
262144, 4096, 7.082978,
262144, 8192, 5.353761,
262144, 16384, 3.914159,
262144, 32768, 1.146977,
262144, 65536, 0.975383,
262144, 131072, 1.146086,
524288, 1, 0.703890,
524288, 2, 0.697211,
524288, 4, 0.708865,
524288, 8, 0.701218,
524288, 16, 0.757100,
524288, 32, 1.240908,
524288, 64, 2.481545,
524288, 128, 2.590355,
524288, 256, 2.670224,
524288, 512, 2.367489,
524288, 1024, 3.707380,
524288, 2048, 4.874462,
524288, 4096, 7.601027,
524288, 8192, 7.010566,
524288, 16384, 6.316846,
524288, 32768, 4.918603,
524288, 65536, 1.809969,
524288, 131072, 0.972834,
524288, 262144, 1.144297,
1048576, 1, 0.709087,
1048576, 2, 0.697089,
1048576, 4, 0.699488,
1048576, 8, 0.699986,
1048576, 16, 0.760333,
1048576, 32, 1.243524,
1048576, 64, 2.456256,
1048576, 128, 2.652184,
1048576, 256, 2.734298,
1048576, 512, 2.367588,
1048576, 1024, 3.694543,
1048576, 2048, 0.111699,
1048576, 4096, 2.893961,
1048576, 8192, 2.865905,
1048576, 16384, 2.417092,
1048576, 32768, 1.635690,
1048576, 65536, 0.135989,
1048576, 131072, 1.812658,
1048576, 262144, 0.968598,
1048576, 524288, 1.128669,
