8192, 1, 0.690639,
8192, 2, 0.725621,
8192, 4, 0.717021,
8192, 8, 0.728110,
8192, 16, 0.811538,
8192, 32, 0.776085,
8192, 64, 0.793137,
8192, 128, 0.902158,
8192, 256, 0.916742,
8192, 512, 0.935178,
8192, 1024, 1.007520,
8192, 2048, 0.813724,
8192, 4096, 1.086940,
16384, 1, 0.695766,
16384, 2, 0.709242,
16384, 4, 0.694824,
16384, 8, 0.713773,
16384, 16, 0.742473,
16384, 32, 0.743076,
16384, 64, 0.743175,
16384, 128, 0.797925,
16384, 256, 0.926835,
16384, 512, 0.909721,
16384, 1024, 0.928000,
16384, 2048, 0.968307,
16384, 4096, 0.963069,
16384, 8192, 1.035802,
32768, 1, 0.692027,
32768, 2, 0.692134,
32768, 4, 0.707105,
32768, 8, 0.704404,
32768, 16, 0.698178,
32768, 32, 0.711255,
32768, 64, 0.721441,
32768, 128, 0.757486,
32768, 256, 0.797831,
32768, 512, 0.927058,
32768, 1024, 0.912602,
32768, 2048, 0.941922,
32768, 4096, 1.142347,
32768, 8192, 0.956593,
32768, 16384, 1.113058,
65536, 1, 0.719280,
65536, 2, 0.698672,
65536, 4, 0.700304,
65536, 8, 0.693074,
65536, 16, 0.697890,
65536, 32, 0.958683,
65536, 64, 1.912829,
65536, 128, 1.955145,
65536, 256, 1.984727,
65536, 512, 1.990569,
65536, 1024, 3.362876,
65536, 2048, 2.670066,
65536, 4096, 3.939075,
65536, 8192, 1.174852,
65536, 16384, 0.961744,
65536, 32768, 1.126524,
131072, 1, 0.692679,
131072, 2, 0.697248,
131072, 4, 0.693433,
131072, 8, 0.696433,
131072, 16, 0.710609,
131072, 32, 0.950098,
131072, 64, 1.899236,
131072, 128, 1.940725,
131072, 256, 1.911578,
131072, 512, 1.965492,
131072, 1024, 3.284848,
131072, 2048, 4.248356,
131072, 4096, 5.444658,
131072, 8192, 4.022499,
131072, 16384, 1.147572,
131072, 32768, 0.967897,
131072, 65536, 1.133246,
262144, 1, 0.693375,
262144, 2, 0.710906,
262144, 4, 0.702971,
262144, 8, 0.695055,
262144, 16, 0.735974,
262144, 32, 1.095637,
262144, 64, 2.230743,
262144, 128, 2.216372,
262144, 256, 2.216966,
262144, 512, 2.055986,
262144, 1024, 3.487426,
262144, 2048, 4.840515,
262144, 4096, 7.098094,
262144, 8192, 5.472922,
262144, 16384, 3.906873,
262144, 32768, 1.142884,
262144, 65536, 0.955957,
262144, 131072, 1.099862,
